"Season","Competition","Matchday","Date","Venue","Club","Opponent","Playing_Position","Minute","At_score","Type","Goal_assist","Home","Away","Result","Injury_Time"
"18/19","LaLiga","35",2019-04-27,"H","FC Barcelona","Levante UD","RW",62,"1:00","Left-footed shot","Arturo Vidal",1,0,"Win",NA
"18/19","UEFA Champions League","Semi-Finals",2019-05-01,"H","FC Barcelona","Liverpool FC","RW ",75,"2:00","Left-footed shot","Luis Suarez",3,0,"Win",NA
"18/19","UEFA Champions League","Semi-Finals",2019-05-01,"H","FC Barcelona","Liverpool FC","RW ",82,"3:00","Direct free kick","No Assist",3,0,"Win",NA
"18/19","LaLiga","38",2019-05-19,"A","FC Barcelona","SD Eibar","CF ",31,"1:01","Left-footed shot","Arturo Vidal",2,2,"Tie",NA
"18/19","LaLiga","38",2019-05-19,"A","FC Barcelona","SD Eibar","CF ",32,"1:02","Left-footed shot","Ivan Rakitic",2,2,"Tie",NA
"18/19","Copa del Rey","Final",2019-05-25,"H","FC Barcelona","Valencia CF","CF ",73,"1:02","Left-footed shot","Clement Lenglet",1,2,"Loss",NA
"19/20","LaLiga","8",2019-10-06,"H","FC Barcelona","Sevilla FC","RW ",78,"4:00","Direct free kick","No Assist",4,0,"Win",NA
"19/20","LaLiga","9",2019-10-19,"A","FC Barcelona","SD Eibar","RW ",58,"0:02","Left-footed shot","Antoine Griezmann",0,3,"Win",NA
"19/20","UEFA Champions League","Group Stage",2019-10-23,"A","FC Barcelona","SK Slavia Prague","RW ",3,"0:01","Left-footed shot","Arthur",1,2,"Win",NA
"19/20","LaLiga","11",2019-10-29,"H","FC Barcelona","Real Valladolid CF","RW ",34,"3:01","Direct free kick","No Assist",5,1,"Win",NA
"19/20","LaLiga","11",2019-10-29,"H","FC Barcelona","Real Valladolid CF","RW ",75,"4:01","Left-footed shot","Ivan Rakitic",5,1,"Win",NA
"19/20","LaLiga","12",2019-11-02,"A","FC Barcelona","Levante UD","RW ",38,"0:01","Penalty","No Assist",3,1,"Loss",NA
"19/20","LaLiga","13",2019-11-09,"H","FC Barcelona","Celta de Vigo","RW ",23,"1:00","Penalty","No Assist",4,1,"Win",NA
"19/20","LaLiga","13",2019-11-09,"H","FC Barcelona","Celta de Vigo","RW ",45,"2:01","Direct free kick","No Assist",4,1,"Win",1
"19/20","LaLiga","13",2019-11-09,"H","FC Barcelona","Celta de Vigo","RW ",48,"3:01","Direct free kick","No Assist",4,1,"Win",NA
"19/20","UEFA Champions League","Group Stage",2019-11-27,"H","FC Barcelona","Borussia Dortmund","RW ",33,"2:00","Left-footed shot","Luis Suarez",3,1,"Win",NA
"19/20","LaLiga","15",2019-12-01,"A","FC Barcelona","Atletico de Madrid","RW ",86,"0:01","Left-footed shot","Luis Suarez",0,1,"Win",NA
"19/20","LaLiga","16",2019-12-07,"H","FC Barcelona","RCD Mallorca","RW ",17,"2:00","Left-footed shot","Antoine Griezmann",5,2,"Win",NA
"19/20","LaLiga","16",2019-12-07,"H","FC Barcelona","RCD Mallorca","RW ",41,"3:01","Left-footed shot","Ivan Rakitic",5,2,"Win",NA
"19/20","LaLiga","16",2019-12-07,"H","FC Barcelona","RCD Mallorca","RW ",83,"5:02","Left-footed shot","Luis Suarez",5,2,"Win",NA
"19/20","LaLiga","18",2019-12-21,"H","FC Barcelona","Deportivo Alaves","RW ",69,"3:01","Left-footed shot","Luis Suarez",4,1,"Win",NA
"19/20","Supercopa","Semi-Finals",2020-01-09,"H","FC Barcelona","Atletico de Madrid","RW ",51,"1:01","Right-footed shot","Luis Suarez",2,3,"Loss",NA
"19/20","LaLiga","20",2020-01-19,"H","FC Barcelona","Granada CF","CF ",76,"1:00","Right-footed shot","Arturo Vidal",1,0,"Win",NA
"19/20","Copa del Rey","Round of 16",2020-01-30,"H","FC Barcelona","CD Leganes","RW ",59,"3:00","Left-footed shot","Frenkie de Jong",5,0,"Win",NA
"19/20","Copa del Rey","Round of 16",2020-01-30,"H","FC Barcelona","CD Leganes","RW ",89,"5:00","Left-footed shot","Ivan Rakitic",5,0,"Win",NA
"19/20","LaLiga","25",2020-02-22,"H","FC Barcelona","SD Eibar","SS ",14,"1:00","Left-footed shot","Ivan Rakitic",5,0,"Win",NA
"19/20","LaLiga","25",2020-02-22,"H","FC Barcelona","SD Eibar","SS ",37,"2:00","Left-footed shot","Arturo Vidal",5,0,"Win",NA
"19/20","LaLiga","25",2020-02-22,"H","FC Barcelona","SD Eibar","SS ",40,"3:00","Left-footed shot","No Assist",5,0,"Win",NA
"19/20","LaLiga","25",2020-02-22,"H","FC Barcelona","SD Eibar","SS ",87,"4:00","Left-footed shot","No Assist",5,0,"Win",NA
"19/20","LaLiga","27",2020-03-07,"H","FC Barcelona","Real Sociedad","CF ",81,"1:00","Penalty","No Assist",1,0,"Win",NA
"19/20","LaLiga","28",2020-06-13,"A","FC Barcelona","RCD Mallorca","RW ",90,"0:04","Right-footed shot","Luis Suarez",0,4,"Win",3
"19/20","LaLiga","29",2020-06-16,"H","FC Barcelona","CD Leganes","RW ",69,"2:00","Penalty","No Assist",2,0,"Win",NA
"19/20","LaLiga","33",2020-06-30,"H","FC Barcelona","Atletico de Madrid","SS ",50,"2:01","Penalty","No Assist",2,2,"Tie",NA
"19/20","LaLiga","37",2020-07-16,"H","FC Barcelona","CA Osasuna","RW ",62,"1:01","Direct free kick","No Assist",1,2,"Loss",NA
"19/20","LaLiga","38",2020-07-19,"A","FC Barcelona","Deportivo Alaves","RW ",34,"0:02","Left-footed shot","Riqui Puig",0,5,"Win",NA
"19/20","LaLiga","38",2020-07-19,"A","FC Barcelona","Deportivo Alaves","RW ",75,"0:05","Left-footed shot","Jordi Alba",0,5,"Win",NA
"19/20","UEFA Champions League","last 16",2020-08-08,"H","FC Barcelona","SSC Napoli","SS ",23,"2:00","Left-footed shot","No Assist",3,1,"Win",NA
"20/21","LaLiga","3",2020-09-27,"H","FC Barcelona","Villarreal CF","CF ",35,"3:00","Penalty","No Assist",4,0,"Win",NA
"20/21","UEFA Champions League","Group Stage",2020-10-20,"H","FC Barcelona","Ferencvarosi TC","CF ",27,"1:00","Penalty","No Assist",5,1,"Win",NA
"20/21","UEFA Champions League","Group Stage",2020-10-28,"A","FC Barcelona","Juventus FC","CF ",90,"0:02","Penalty","No Assist",0,2,"Win",1
"20/21","UEFA Champions League","Group Stage",2020-11-04,"H","FC Barcelona","Dynamo Kyiv","RW ",5,"1:00","Penalty","No Assist",2,1,"Win",NA
"20/21","LaLiga","9",2020-11-07,"H","FC Barcelona","Real Betis Balompie","CF",61,"3:01","Penalty","No Assist",5,2,"Win",NA
"20/21","LaLiga","9",2020-11-07,"H","FC Barcelona","Real Betis Balompie","CF",82,"4:02","Left-footed shot","Sergi Roberto",5,2,"Win",NA
"20/21","LaLiga","11",2020-11-29,"H","FC Barcelona","CA Osasuna","RW ",73,"4:00","Left-footed shot","Francisco TrincÃ£o",4,0,"Win",NA
"20/21","LaLiga","13",2020-12-13,"H","FC Barcelona","Levante UD","CF ",76,"1:00","Left-footed shot","Frenkie de Jong",1,0,"Win",NA
"20/21","LaLiga","14",2020-12-19,"H","FC Barcelona","Valencia CF","CF ",45,"1:01","Header","No Assist",2,2,"Tie",4
"20/21","LaLiga","15",2020-12-22,"A","FC Barcelona","Real Valladolid CF","AM ",65,"0:03","Left-footed shot","Pedri",0,3,"Win",NA
"20/21","LaLiga","2",2021-01-06,"A","FC Barcelona","Athletic Bilbao","CF ",38,"1:02","Left-footed shot","Pedri",2,3,"Win",NA
"20/21","LaLiga","2",2021-01-06,"A","FC Barcelona","Athletic Bilbao","CF ",62,"1:03","Left-footed shot","Antoine Griezmann",2,3,"Win",NA
"20/21","LaLiga","18",2021-01-09,"A","FC Barcelona","Granada CF","CF ",35,"0:02","Left-footed shot","Antoine Griezmann",0,4,"Win",NA
"20/21","LaLiga","18",2021-01-09,"A","FC Barcelona","Granada CF","CF ",42,"0:03","Direct free kick","No Assist",0,4,"Win",NA
"20/21","Copa del Rey","Round of 16",2021-01-27,"A","FC Barcelona","Rayo Vallecano","CF ",69,"1:01","Left-footed shot","Antoine Griezmann",1,2,"Win",NA
"20/21","LaLiga","21",2021-01-31,"H","FC Barcelona","Athletic Bilbao","CF ",20,"1:00","Direct free kick","No Assist",2,1,"Win",NA
"20/21","LaLiga","22",2021-02-07,"A","FC Barcelona","Real Betis Balompie","CF",59,"1:01","Left-footed shot","Ousmane Dembele",2,3,"Win",NA
"20/21","LaLiga","23",2021-02-13,"H","FC Barcelona","Deportivo Alaves","CF ",45,"2:00","Left-footed shot","Sergio Busquets",5,1,"Win",1
"20/21","LaLiga","23",2021-02-13,"H","FC Barcelona","Deportivo Alaves","CF ",75,"4:01","Left-footed shot","Antoine Griezmann",5,1,"Win",NA
"20/21","UEFA Champions League","last 16",2021-02-16,"H","FC Barcelona","Paris Saint-Germain","CF ",27,"1:00","Penalty","No Assist",1,4,"Loss",NA
"20/21","LaLiga","24",2021-02-21,"H","FC Barcelona","Cadiz CF","CF ",32,"1:00","Penalty","No Assist",1,1,"Tie",NA
"20/21","LaLiga","1",2021-02-24,"H","FC Barcelona","Elche CF","CF ",48,"1:00","Left-footed shot","Martin Braithwaite",3,0,"Win",NA
"20/21","LaLiga","1",2021-02-24,"H","FC Barcelona","Elche CF","CF ",68,"2:00","Left-footed shot","Frenkie de Jong",3,0,"Win",NA
"20/21","LaLiga","25",2021-02-27,"A","FC Barcelona","Sevilla FC","CF ",85,"0:02","Right-footed shot","Ilaix Moriba",0,2,"Win",NA
"20/21","UEFA Champions League","last 16",2021-03-10,"A","FC Barcelona","Paris Saint-Germain","SS ",37,"1:01","Long distance kick","Pedri",1,1,"Tie",NA
"20/21","LaLiga","27",2021-03-15,"H","FC Barcelona","SD Huesca","SS ",13,"1:00","Left-footed shot","Sergio Busquets",4,1,"Win",NA
"20/21","LaLiga","27",2021-03-15,"H","FC Barcelona","SD Huesca","SS ",90,"4:01","Left-footed shot","Francisco TrincÃ£o",4,1,"Win",NA
"20/21","LaLiga","28",2021-03-21,"A","FC Barcelona","Real Sociedad","SS ",56,"0:04","Left-footed shot","Sergio Busquets",1,6,"Win",NA
"20/21","LaLiga","28",2021-03-21,"A","FC Barcelona","Real Sociedad","SS ",89,"1:06","Left-footed shot","Jordi Alba",1,6,"Win",NA
"20/21","Copa del Rey","Final",2021-04-17,"A","FC Barcelona","Athletic Bilbao","CF ",68,"0:03","Left-footed shot","Frenkie de Jong",0,4,"Win",NA
"20/21","Copa del Rey","Final",2021-04-17,"A","FC Barcelona","Athletic Bilbao","CF ",72,"0:04","Left-footed shot","Jordi Alba",0,4,"Win",NA
"20/21","LaLiga","31",2021-04-22,"H","FC Barcelona","Getafe CF","CF ",8,"1:00","Left-footed shot","Sergio Busquets",5,2,"Win",NA
"20/21","LaLiga","31",2021-04-22,"H","FC Barcelona","Getafe CF","CF ",33,"3:01","Left-footed shot","No Assist",5,2,"Win",NA
"20/21","LaLiga","33",2021-04-29,"H","FC Barcelona","Granada CF","CF ",23,"1:00","Left-footed shot","Antoine Griezmann",1,2,"Loss",NA
"20/21","LaLiga","34",2021-05-02,"A","FC Barcelona","Valencia CF","CF ",57,"1:01","Left-footed shot","No Assist",2,3,"Win",NA
"20/21","LaLiga","34",2021-05-02,"A","FC Barcelona","Valencia CF","CF ",69,"1:03","Direct free kick","No Assist",2,3,"Win",NA
"20/21","LaLiga","36",2021-05-11,"A","FC Barcelona","Levante UD","SS ",25,"0:01","Left-footed shot","No Assist",3,3,"Tie",NA
"20/21","LaLiga","37",2021-05-16,"H","FC Barcelona","Celta de Vigo","SS ",28,"1:00","Header","Sergio Busquets",1,2,"Loss",NA
"21/22","UEFA Champions League","Group Stage",2021-09-28,"H","Paris Saint-Germain","Manchester City","RW",74,"2:00","Left-footed shot","Kylian Mbappe",2,0,"Win",NA
"21/22","UEFA Champions League","Group Stage",2021-10-19,"H","Paris Saint-Germain","RB Leipzig","RW",67,"2:02","Left-footed shot","Kylian Mbappe",3,2,"Win",NA
"21/22","UEFA Champions League","Group Stage",2021-10-19,"H","Paris Saint-Germain","RB Leipzig","RW",74,"3:02","Penalty","No Assist",3,2,"Win",NA
"21/22","Ligue 1","14",2021-11-20,"H","Paris Saint-Germain","FC Nantes","RW",87,"3:01","Left-footed shot","Kylian Mbappe",3,1,"Win",NA
"21/22","UEFA Champions League","Group Stage",2021-12-07,"H","Paris Saint-Germain","Club Brugge KV","CF",38,"3:00","Left-footed shot","Kylian Mbappe",4,1,"Win",NA
"21/22","UEFA Champions League","Group Stage",2021-12-07,"H","Paris Saint-Germain","Club Brugge KV","CF",76,"4:01","Penalty","No Assist",4,1,"Win",NA
"21/22","Ligue 1","23",2022-02-06,"A","Paris Saint-Germain","LOSC Lille","CF",38,"1:03","Left-footed shot","No Assist",1,5,"Win",NA
"21/22","Ligue 1","30",2022-04-03,"H","Paris Saint-Germain","FC Lorient","RW",73,"4:01","Left-footed shot","Kylian Mbappe",5,1,"Win",NA
"21/22","Ligue 1","34",2022-04-23,"H","Paris Saint-Germain","RC Lens","RW",68,"1:00","Left-footed shot","Neymar",1,1,"Tie",NA
"21/22","Ligue 1","37",2022-05-14,"A","Paris Saint-Germain","Montpellier","CF",6,"0:01","Left-footed shot","Kylian Mbappé",0,4,"Win",NA
"21/22","Ligue 1","37",2022-05-14,"A","Paris Saint-Germain","Montpellier","CF",20,"0:02","Left-footed shot","Kylian Mbappé",0,4,"Win",NA
"21/22","Trophée des Champions","Final",2022-07-31,"H","Paris Saint-Germain","FC Nantes","CF",22,"1:00","Right-footed shot","No Assist",4,0,"Win",NA
"21/22","Ligue 1","1",2022-08-06,"A","Paris Saint-Germain","Clermont Foot","CF",80,"0:04","Left-footed shot","Neymar",0,5,"Win",NA
"21/22","Ligue 1","1",2022-08-06,"A","Paris Saint-Germain","Clermont Foot","CF",86,"0:05","Left-footed shot","Leandro Paredes",0,5,"Win",NA
"22/23","Troph�e des Champions","Final",2022-07-31,"H","Paris Saint-Germain","FC Nantes","CF",22,"1:00","Right-footed shot","No Assist",4,0,"Win",NA
"22/23","Ligue 1","1",2022-08-06,"A","Paris Saint-Germain","Clermont Foot","CF",80,"0:04","Left-footed shot","Neymar",0,5,"Win",NA
"22/23","Ligue 1","1",2022-08-06,"A","Paris Saint-Germain","Clermont Foot","CF",86,"0:05","Left-footed shot","Leandro Paredes",0,5,"Win",NA
"22/23","Ligue 1","3",2022-08-21,"A","Paris Saint-Germain","LOSC Lille","AM",27,"0:02","Right-footed shot","Nuno Mendes",1,7,"Win",NA
"22/23","Champions League","Group Stage",2022-09-14,"A","Paris Saint-Germain","Maccabi Haifa","SS",37,"1:01","Left-footed shot","No Assist",1,3,"Win",NA
"22/23","Ligue 1","8",2022-09-18,"A","Paris Saint-Germain","Olympique Lyon","AM",5,"0:01","Left-footed shot","Neymar",0,1,"Win",NA
"22/23","Ligue 1","9",2022-10-01,"H","Paris Saint-Germain","OGC Nice","AM",28,"1:0","Direct free kick","No Assist",2,1,"Win",NA
"22/23","UEFA Champions League","Group Stage",2022-10-05,"A","Paris Saint-Germain","SL Benfica","AM",22,"0:1","Left-footed shot","Neymar",1,1,"Tie",NA
"22/23","Ligue 1","12",2022-10-21,"A","Paris Saint-Germain","AC Ajaccio","CF",78,"0:2","Left-footed shot","Kylian Mbappe",0,3,"Win",NA
"22/23","UEFA Champions League","Group Stage",2022-10-25,"H","Paris Saint-Germain","Maccabi Haifa","SS",19,"1:0","Left-footed shot","Kylian Mbappe",7,2,"Win",NA
"22/23","UEFA Champions League","Group Stage",2022-10-25,"H","Paris Saint-Germain","Maccabi Haifa","SS",44,"4:1","Left-footed shot","Kylian Mbappe",7,2,"Win",NA
"22/23","Ligue 1","13",2022-10-29,"H","Paris Saint-Germain","ESTAC Troyes","RW",55,"2:2","Left-footed shot","Sergio Ramos",4,3,"Win",NA
